2026-03-10 16:38:56,645 | INFO | get_bs_data | 任务池进度 progress=7556/373605 remaining=366049 by_freq=d:tasks=0,rows=0, w:tasks=7556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:00,263 | INFO | get_bs_data | 任务池进度 progress=7756/373605 remaining=365849 by_freq=d:tasks=0,rows=0, w:tasks=7756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:03,780 | INFO | get_bs_data | 任务池进度 progress=7956/373605 remaining=365649 by_freq=d:tasks=0,rows=0, w:tasks=7956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:07,354 | INFO | get_bs_data | 任务池进度 progress=8156/373605 remaining=365449 by_freq=d:tasks=0,rows=0, w:tasks=8156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:11,236 | INFO | get_bs_data | 任务池进度 progress=8356/373605 remaining=365249 by_freq=d:tasks=0,rows=0, w:tasks=8356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:15,199 | INFO | get_bs_data | 任务池进度 progress=8556/373605 remaining=365049 by_freq=d:tasks=0,rows=0, w:tasks=8556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:19,075 | INFO | get_bs_data | 任务池进度 progress=8756/373605 remaining=364849 by_freq=d:tasks=0,rows=0, w:tasks=8756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:24,986 | INFO | get_bs_data | 任务池进度 progress=8956/373605 remaining=364649 by_freq=d:tasks=0,rows=0, w:tasks=8956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:29,598 | INFO | get_bs_data | 任务池进度 progress=9156/373605 remaining=364449 by_freq=d:tasks=0,rows=0, w:tasks=9156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:32,662 | INFO | get_bs_data | 任务池进度 progress=9356/373605 remaining=364249 by_freq=d:tasks=0,rows=0, w:tasks=9356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:36,622 | INFO | get_bs_data | 任务池进度 progress=9556/373605 remaining=364049 by_freq=d:tasks=0,rows=0, w:tasks=9556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:40,415 | INFO | get_bs_data | 任务池进度 progress=9756/373605 remaining=363849 by_freq=d:tasks=0,rows=0, w:tasks=9756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:45,080 | INFO | get_bs_data | 任务池进度 progress=9956/373605 remaining=363649 by_freq=d:tasks=0,rows=0, w:tasks=9956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:49,304 | INFO | get_bs_data | 任务池进度 progress=10156/373605 remaining=363449 by_freq=d:tasks=0,rows=0, w:tasks=10156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:39:52,409 | INFO | get_bs_data | 任务池进度 progress=10356/373605 remaining=363249 by_freq=d:tasks=0,rows=0, w:tasks=10356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:02,633 | INFO | get_bs_data | 任务池进度 progress=10556/373605 remaining=363049 by_freq=d:tasks=0,rows=0, w:tasks=10556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:05,979 | INFO | get_bs_data | 任务池进度 progress=10756/373605 remaining=362849 by_freq=d:tasks=0,rows=0, w:tasks=10756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:10,275 | INFO | get_bs_data | 任务池进度 progress=10956/373605 remaining=362649 by_freq=d:tasks=0,rows=0, w:tasks=10956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:20,500 | INFO | get_bs_data | 任务池进度 progress=11156/373605 remaining=362449 by_freq=d:tasks=0,rows=0, w:tasks=11156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:24,349 | INFO | get_bs_data | 任务池进度 progress=11356/373605 remaining=362249 by_freq=d:tasks=0,rows=0, w:tasks=11356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:28,296 | INFO | get_bs_data | 任务池进度 progress=11556/373605 remaining=362049 by_freq=d:tasks=0,rows=0, w:tasks=11556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:32,967 | INFO | get_bs_data | 任务池进度 progress=11756/373605 remaining=361849 by_freq=d:tasks=0,rows=0, w:tasks=11756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:35,927 | INFO | get_bs_data | 任务池进度 progress=11956/373605 remaining=361649 by_freq=d:tasks=0,rows=0, w:tasks=11956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:39,059 | INFO | get_bs_data | 任务池进度 progress=12156/373605 remaining=361449 by_freq=d:tasks=0,rows=0, w:tasks=12156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:42,541 | INFO | get_bs_data | 任务池进度 progress=12356/373605 remaining=361249 by_freq=d:tasks=0,rows=0, w:tasks=12356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:46,792 | INFO | get_bs_data | 任务池进度 progress=12556/373605 remaining=361049 by_freq=d:tasks=0,rows=0, w:tasks=12556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:51,084 | INFO | get_bs_data | 任务池进度 progress=12756/373605 remaining=360849 by_freq=d:tasks=0,rows=0, w:tasks=12756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:55,941 | INFO | get_bs_data | 任务池进度 progress=12956/373605 remaining=360649 by_freq=d:tasks=0,rows=0, w:tasks=12956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:40:59,045 | INFO | get_bs_data | 任务池进度 progress=13156/373605 remaining=360449 by_freq=d:tasks=0,rows=0, w:tasks=13156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:41:03,038 | INFO | get_bs_data | 任务池进度 progress=13356/373605 remaining=360249 by_freq=d:tasks=0,rows=0, w:tasks=13356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:41:06,578 | INFO | get_bs_data | 任务池进度 progress=13556/373605 remaining=360049 by_freq=d:tasks=0,rows=0, w:tasks=13556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:41:10,803 | INFO | get_bs_data | 任务池进度 progress=13756/373605 remaining=359849 by_freq=d:tasks=0,rows=0, w:tasks=13756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:41:14,607 | INFO | get_bs_data | 任务池进度 progress=13956/373605 remaining=359649 by_freq=d:tasks=0,rows=0, w:tasks=13956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:41:18,538 | INFO | get_bs_data | 任务池进度 progress=14156/373605 remaining=359449 by_freq=d:tasks=0,rows=0, w:tasks=14156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
